Place Name,Safety Rating (5.0),Lighting,Lighting Score,Police Presence,Emergency Services (m),Crime Beat ID,Crowd Density,Overall Status
Avadi Zone-8,3.0,Good,82%,No,698m,CHN0904,Low,Unsafe
Thirumullaivoyal Zone-66,4.8,Good,74%,No,459m,CHN0905,Medium,Safe
Sholinganallur Zone-72,4.1,Good,70%,No,1599m,CHN0906,Medium,Moderate
Ambattur Zone-91,4.3,Good,84%,Yes,561m,CHN0907,High,Safe
Egmore Zone-86,4.3,Moderate,94%,Yes,1541m,CHN0908,High,Safe
Sholinganallur Zone-89,3.1,Poor,98%,No,1740m,CHN0909,Low,Unsafe
Kotturpuram Zone-36,3.4,Good,97%,No,386m,CHN0910,High,Moderate
Poonamallee Zone-14,4.7,Poor,94%,No,1420m,CHN0911,Low,Safe
Tambaram Zone-36,4.9,Moderate,89%,No,263m,CHN0912,High,Safe
Maduravoyal Zone-94,3.2,Good,72%,Yes,1559m,CHN0913,High,Moderate
Perambur Zone-97,5.0,Poor,91%,No,546m,CHN0914,Medium,Safe
Maduravoyal Zone-33,2.8,Moderate,88%,Yes,551m,CHN0915,High,Unsafe
Pallavaram Zone-30,2.8,Poor,98%,Yes,618m,CHN0916,Medium,Unsafe
Mogappair Zone-40,2.6,Good,61%,No,998m,CHN0917,Low,Unsafe
Anna Nagar Zone-37,4.6,Moderate,62%,No,945m,CHN0918,High,Safe
Vandalur Zone-61,4.9,Poor,86%,Yes,1674m,CHN0919,Low,Safe
Vadapalani Zone-88,4.1,Good,61%,No,803m,CHN0920,Low,Moderate
Poonamallee Zone-83,3.3,Poor,74%,Yes,1529m,CHN0921,Medium,Moderate
Velachery West Zone-13,4.6,Poor,83%,Yes,981m,CHN0922,Medium,Safe
Pallikaranai Zone-14,4.6,Moderate,82%,No,1504m,CHN0923,High,Safe
Guindy Zone-1,2.8,Poor,86%,No,962m,CHN0924,Medium,Unsafe
Maduravoyal Zone-82,3.3,Moderate,67%,No,1690m,CHN0925,Low,Moderate
Tambaram Zone-99,3.4,Moderate,81%,No,1351m,CHN0926,High,Moderate
Thousand Lights Zone-42,3.6,Good,84%,Yes,922m,CHN0927,High,Moderate
Avadi Zone-19,4.2,Moderate,69%,No,781m,CHN0928,High,Safe
Thiruvanmiyur Zone-13,3.0,Moderate,84%,No,1539m,CHN0929,Medium,Unsafe
Alwarpet Zone-31,2.9,Moderate,60%,Yes,1193m,CHN0930,High,Unsafe
Adyar Zone-75,2.6,Poor,74%,Yes,1173m,CHN0931,Medium,Unsafe
Thoraipakkam Zone-17,4.4,Moderate,68%,No,872m,CHN0932,Medium,Safe
Mogappair Zone-82,4.8,Good,75%,No,1457m,CHN0933,High,Safe
Mylapore Zone-39,3.7,Poor,90%,No,1500m,CHN0934,Medium,Moderate
Teynampet Zone-21,4.2,Moderate,99%,No,1833m,CHN0935,Medium,Safe
Velachery West Zone-94,4.2,Moderate,92%,Yes,1943m,CHN0936,Low,Safe
Mylapore Zone-45,4.0,Good,96%,Yes,325m,CHN0937,Medium,Moderate
Thoraipakkam Zone-21,4.0,Moderate,84%,No,1932m,CHN0938,Medium,Moderate
Tambaram Zone-31,4.3,Poor,64%,No,554m,CHN0939,Medium,Safe
Thoraipakkam Zone-31,2.6,Poor,71%,No,1684m,CHN0940,High,Unsafe
T Nagar Zone-50,4.9,Moderate,92%,No,242m,CHN0941,Low,Safe
Thiruvanmiyur Zone-52,3.2,Poor,94%,Yes,450m,CHN0942,Low,Moderate
Royapuram Zone-50,3.4,Moderate,94%,No,834m,CHN0943,Low,Moderate
Poonamallee Zone-40,2.5,Moderate,72%,No,474m,CHN0944,High,Unsafe
Sholinganallur Zone-45,3.9,Good,75%,Yes,1221m,CHN0945,High,Moderate
Thiruvottriyur Zone-39,4.9,Good,96%,No,1783m,CHN0946,Medium,Safe
Perambur Zone-17,4.8,Moderate,79%,Yes,237m,CHN0947,Medium,Safe
Ashok Nagar Zone-85,2.7,Moderate,97%,No,1253m,CHN0948,Medium,Unsafe
Perambur Zone-82,2.5,Moderate,70%,Yes,941m,CHN0949,Medium,Unsafe
Thirumullaivoyal Zone-86,2.9,Good,64%,No,1664m,CHN0950,Low,Unsafe
Teynampet Zone-8,3.7,Moderate,84%,No,736m,CHN0951,Low,Moderate
Chromepet Zone-34,3.2,Poor,78%,Yes,651m,CHN0952,High,Moderate
Tambaram Zone-14,3.3,Poor,99%,Yes,1320m,CHN0953,Medium,Moderate
Poonamallee Zone-49,2.8,Moderate,88%,No,1011m,CHN0954,High,Unsafe
Manapakkam Zone-80,4.1,Poor,91%,Yes,645m,CHN0955,High,Moderate
Kilpauk Zone-8,2.8,Poor,98%,Yes,1316m,CHN0956,Medium,Unsafe
Royapettah Zone-9,4.6,Poor,81%,No,922m,CHN0957,High,Safe
Nungambakkam Zone-57,3.0,Moderate,95%,Yes,407m,CHN0958,High,Unsafe
Chromepet Zone-54,3.0,Poor,72%,No,1289m,CHN0959,High,Unsafe
Avadi Zone-37,4.0,Moderate,84%,No,1965m,CHN0960,Medium,Moderate
T Nagar Zone-34,4.1,Poor,73%,No,1278m,CHN0961,Medium,Moderate
Velachery Zone-5,3.0,Moderate,62%,Yes,1555m,CHN0962,Low,Unsafe
Parrys Zone-63,4.5,Moderate,66%,No,538m,CHN0963,High,Safe
Kotturpuram Zone-79,2.7,Moderate,100%,No,1117m,CHN0964,High,Unsafe
Royapettah Zone-64,4.6,Moderate,95%,Yes,934m,CHN0965,Medium,Safe
Perambur Zone-28,2.6,Good,77%,No,1596m,CHN0966,Low,Unsafe
Avadi Zone-53,2.7,Good,82%,No,1049m,CHN0967,Low,Unsafe
Velachery East Zone-11,3.2,Moderate,73%,Yes,1336m,CHN0968,High,Moderate
Guindy Zone-57,4.1,Poor,99%,Yes,905m,CHN0969,Low,Moderate
Perungudi Zone-20,3.8,Moderate,89%,Yes,1541m,CHN0970,Medium,Moderate
Teynampet Zone-44,3.6,Poor,62%,No,1728m,CHN0971,High,Moderate
Thirumullaivoyal Zone-52,4.5,Moderate,98%,Yes,1999m,CHN0972,Medium,Safe
Guindy Zone-14,3.8,Moderate,96%,Yes,1592m,CHN0973,Medium,Moderate
Ayanavaram Zone-25,3.8,Poor,75%,Yes,888m,CHN0974,High,Moderate
George Town Zone-9,3.8,Moderate,81%,No,646m,CHN0975,Low,Moderate
Poonamallee Zone-92,4.0,Poor,91%,No,1261m,CHN0976,Low,Moderate
Ayanavaram Zone-9,4.8,Moderate,97%,Yes,414m,CHN0977,Low,Safe
Aminjikarai Zone-31,4.0,Poor,99%,Yes,411m,CHN0978,Medium,Moderate
Perungudi Zone-38,3.2,Good,68%,No,582m,CHN0979,Low,Moderate
Vadapalani Zone-10,4.6,Poor,77%,No,315m,CHN0980,Low,Safe
Aminjikarai Zone-97,4.7,Moderate,76%,No,1225m,CHN0981,Medium,Safe
Vepery Zone-52,4.6,Good,61%,No,1285m,CHN0982,High,Safe
Pallavaram Zone-84,3.6,Poor,83%,No,355m,CHN0983,High,Moderate
George Town Zone-88,2.5,Good,64%,No,404m,CHN0984,Medium,Unsafe
Manapakkam Zone-84,3.5,Moderate,94%,No,1431m,CHN0985,High,Moderate
Maduravoyal Zone-88,4.0,Poor,61%,Yes,943m,CHN0986,Medium,Moderate
Nungambakkam Zone-21,2.7,Moderate,90%,No,1580m,CHN0987,High,Unsafe
Poonamallee Zone-51,4.4,Good,71%,Yes,412m,CHN0988,Medium,Safe
Kotturpuram Zone-48,2.5,Poor,80%,Yes,224m,CHN0989,High,Unsafe
Nungambakkam Zone-46,3.1,Poor,77%,No,1712m,CHN0990,High,Unsafe
Vadapalani Zone-26,2.9,Good,75%,No,1925m,CHN0991,Medium,Unsafe
Guindy Zone-57,2.6,Moderate,68%,No,1963m,CHN0992,Low,Unsafe
Adyar Zone-30,3.6,Good,81%,Yes,1093m,CHN0993,Medium,Moderate
Thoraipakkam Zone-8,4.5,Good,87%,No,1855m,CHN0994,Low,Safe
Mylapore Zone-44,3.0,Poor,84%,No,1449m,CHN0995,Medium,Unsafe
Alwarpet Zone-89,3.7,Good,100%,No,336m,CHN0996,High,Moderate
Pallavaram Zone-97,4.1,Poor,98%,Yes,784m,CHN0997,Low,Moderate
Pallikaranai Zone-25,4.1,Poor,61%,Yes,1610m,CHN0998,Medium,Moderate
Perungudi Zone-75,2.9,Good,86%,No,842m,CHN0999,Low,Unsafe
Pallikaranai Zone-70,4.3,Poor,92%,Yes,1806m,CHN1000,Medium,Safe
Thiruvottriyur Zone-3,2.9,Good,67%,Yes,1427m,CHN1001,Low,Unsafe
Ambattur Zone-33,3.7,Good,80%,No,1637m,CHN1002,Low,Moderate
Guindy Zone-53,3.9,Good,60%,Yes,570m,CHN1003,High,Moderate
Alwarpet Zone-20,3.9,Good,88%,No,577m,CHN1004,Low,Moderate
Manapakkam Zone-67,4.9,Good,85%,No,1381m,CHN1005,Low,Safe
Guindy Zone-78,3.0,Good,96%,No,1707m,CHN1006,Medium,Unsafe
Pallikaranai Zone-26,4.5,Moderate,91%,Yes,1574m,CHN1007,Low,Safe
Nungambakkam Zone-78,4.4,Poor,89%,No,1375m,CHN1008,Low,Safe
Teynampet Zone-27,4.0,Good,88%,Yes,608m,CHN1009,High,Moderate
Velachery West Zone-28,5.0,Good,66%,No,598m,CHN1010,Low,Safe
Poonamallee Zone-21,3.0,Moderate,80%,Yes,867m,CHN1011,Medium,Unsafe
Royapettah Zone-86,4.4,Good,62%,Yes,1197m,CHN1012,Low,Safe
Pallavaram Zone-92,4.5,Moderate,82%,No,1444m,CHN1013,Medium,Safe
Anna Nagar Zone-13,4.7,Good,60%,Yes,381m,CHN1014,High,Safe
Vadapalani Zone-92,3.0,Good,96%,No,1096m,CHN1015,Low,Unsafe
Saidapet Zone-5,3.7,Poor,66%,No,1138m,CHN1016,Low,Moderate
Thiruvanmiyur Zone-43,3.3,Good,62%,No,567m,CHN1017,Low,Moderate
Kodambakkam Zone-76,2.7,Moderate,82%,No,639m,CHN1018,Medium,Unsafe
Perungudi Zone-90,4.1,Moderate,83%,Yes,1616m,CHN1019,High,Moderate
Sholinganallur Zone-81,2.8,Good,62%,No,849m,CHN1020,Medium,Unsafe
Ashok Nagar Zone-25,3.0,Good,95%,Yes,294m,CHN1021,Low,Unsafe
T Nagar Zone-52,5.0,Good,75%,Yes,1241m,CHN1022,High,Safe
Egmore Zone-52,3.3,Good,61%,Yes,677m,CHN1023,High,Moderate
Ambattur Zone-22,3.6,Good,95%,No,448m,CHN1024,Medium,Moderate
Kilpauk Zone-11,3.1,Good,78%,No,1672m,CHN1025,High,Unsafe
Poonamallee Zone-41,4.3,Poor,84%,Yes,1262m,CHN1026,High,Safe
Ambattur Zone-6,4.7,Poor,85%,Yes,1343m,CHN1027,Medium,Safe
Medavakkam Zone-33,2.8,Poor,75%,No,242m,CHN1028,High,Unsafe
Ashok Nagar Zone-5,4.1,Moderate,98%,No,1373m,CHN1029,Medium,Moderate
Chromepet Zone-29,4.2,Good,80%,No,564m,CHN1030,High,Safe
Guindy Zone-20,3.8,Moderate,80%,Yes,1005m,CHN1031,High,Moderate
Kilpauk Zone-82,2.9,Moderate,69%,Yes,592m,CHN1032,Medium,Unsafe
Teynampet Zone-13,4.7,Good,97%,Yes,1197m,CHN1033,Low,Safe
Villivakkam Zone-35,2.9,Moderate,63%,No,847m,CHN1034,High,Unsafe
Velachery Zone-96,4.1,Moderate,76%,Yes,1322m,CHN1035,High,Moderate
Sholinganallur Zone-25,4.4,Poor,82%,Yes,595m,CHN1036,Medium,Safe
Maduravoyal Zone-62,5.0,Moderate,67%,No,2000m,CHN1037,High,Safe
Thirumullaivoyal Zone-29,3.5,Good,96%,Yes,1865m,CHN1038,Low,Moderate
Velachery West Zone-52,4.8,Moderate,66%,Yes,1476m,CHN1039,High,Safe
Vepery Zone-42,3.9,Good,78%,Yes,1595m,CHN1040,Low,Moderate
Porur Zone-47,2.6,Good,99%,Yes,961m,CHN1041,Medium,Unsafe
Kottivakkam Zone-77,3.5,Poor,68%,No,1350m,CHN1042,High,Moderate
T Nagar Zone-48,3.7,Poor,96%,Yes,1805m,CHN1043,Medium,Moderate
Saidapet Zone-93,3.2,Moderate,72%,No,380m,CHN1044,Medium,Moderate
Ambattur Zone-17,3.4,Moderate,72%,Yes,1470m,CHN1045,Low,Moderate
Washermanpet Zone-54,4.8,Moderate,65%,No,1953m,CHN1046,High,Safe
Mylapore Zone-82,3.2,Poor,67%,No,662m,CHN1047,Medium,Moderate
Villivakkam Zone-100,4.8,Poor,79%,Yes,1612m,CHN1048,Medium,Safe
Parrys Zone-8,5.0,Good,78%,Yes,764m,CHN1049,Low,Safe
Saidapet Zone-66,3.8,Poor,86%,Yes,1357m,CHN1050,Medium,Moderate
Velachery West Zone-74,2.5,Poor,92%,No,1839m,CHN1051,High,Unsafe
Mogappair Zone-19,2.6,Good,80%,Yes,1863m,CHN1052,Medium,Unsafe
Royapettah Zone-67,3.8,Moderate,71%,No,233m,CHN1053,Low,Moderate
Anna Nagar Zone-44,3.3,Moderate,93%,Yes,486m,CHN1054,Medium,Moderate
Sholinganallur Zone-99,3.1,Poor,99%,No,837m,CHN1055,Low,Unsafe
Ambattur Zone-41,2.8,Good,100%,No,394m,CHN1056,High,Unsafe
Kodambakkam Zone-51,3.0,Moderate,86%,No,1106m,CHN1057,Medium,Unsafe
Nungambakkam Zone-83,2.9,Poor,82%,Yes,410m,CHN1058,Low,Unsafe
Saidapet Zone-84,3.6,Moderate,95%,Yes,203m,CHN1059,High,Moderate
Maduravoyal Zone-60,2.6,Moderate,68%,Yes,721m,CHN1060,Low,Unsafe
Kotturpuram Zone-81,3.0,Moderate,76%,No,561m,CHN1061,Low,Unsafe
Kilpauk Zone-61,4.1,Moderate,65%,No,1851m,CHN1062,Low,Moderate
Pallavaram Zone-77,3.4,Good,80%,No,550m,CHN1063,High,Moderate
Thoraipakkam Zone-30,3.5,Good,95%,No,1429m,CHN1064,Low,Moderate
T Nagar Zone-44,3.3,Good,94%,No,857m,CHN1065,High,Moderate
Mogappair Zone-7,3.8,Good,79%,Yes,1230m,CHN1066,High,Moderate
Thiruvottriyur Zone-18,2.8,Good,65%,No,1574m,CHN1067,High,Unsafe
Saidapet Zone-33,2.6,Moderate,77%,No,586m,CHN1068,Medium,Unsafe
Vadapalani Zone-42,2.8,Poor,83%,Yes,1943m,CHN1069,Low,Unsafe
Ashok Nagar Zone-67,3.3,Moderate,96%,No,1062m,CHN1070,High,Moderate
Ambattur Zone-31,3.5,Poor,60%,Yes,503m,CHN1071,Medium,Moderate
Ayanavaram Zone-62,3.4,Moderate,88%,Yes,1569m,CHN1072,Medium,Moderate
Saidapet Zone-66,4.0,Moderate,99%,No,249m,CHN1073,High,Moderate
Royapettah Zone-17,3.3,Good,64%,Yes,1776m,CHN1074,Medium,Moderate
Saidapet Zone-65,3.2,Moderate,70%,No,215m,CHN1075,High,Moderate
Kilpauk Zone-63,4.0,Poor,100%,No,1858m,CHN1076,Medium,Moderate
Thiruvanmiyur Zone-5,3.9,Moderate,86%,Yes,1579m,CHN1077,High,Moderate
Maduravoyal Zone-55,4.9,Good,99%,Yes,665m,CHN1078,Medium,Safe
Velachery East Zone-89,3.9,Good,66%,No,1138m,CHN1079,Medium,Moderate
Thiruvanmiyur Zone-71,4.6,Good,92%,No,1403m,CHN1080,High,Safe
Ambattur Zone-76,3.8,Moderate,63%,No,1643m,CHN1081,High,Moderate
Thousand Lights Zone-82,3.7,Good,89%,No,1498m,CHN1082,Medium,Moderate
Teynampet Zone-89,2.5,Poor,78%,Yes,943m,CHN1083,Low,Unsafe
Sholinganallur Zone-85,4.7,Poor,80%,Yes,1813m,CHN1084,High,Safe
Thiruvottriyur Zone-33,3.6,Moderate,75%,No,1096m,CHN1085,High,Moderate
Thoraipakkam Zone-62,3.1,Good,66%,No,455m,CHN1086,Low,Unsafe
Mogappair Zone-49,5.0,Moderate,75%,Yes,354m,CHN1087,High,Safe
Kottivakkam Zone-23,3.4,Poor,73%,No,1979m,CHN1088,High,Moderate
Teynampet Zone-2,3.2,Poor,81%,Yes,1260m,CHN1089,Medium,Moderate
Aminjikarai Zone-49,3.5,Moderate,62%,Yes,1247m,CHN1090,High,Moderate
Velachery Zone-77,3.9,Good,74%,Yes,453m,CHN1091,High,Moderate
Vadapalani Zone-4,4.2,Moderate,74%,Yes,1048m,CHN1092,High,Safe
Maduravoyal Zone-82,4.1,Poor,60%,Yes,1628m,CHN1093,High,Moderate
Thirumullaivoyal Zone-4,3.6,Poor,66%,Yes,678m,CHN1094,Medium,Moderate
Washermanpet Zone-93,3.3,Moderate,81%,Yes,305m,CHN1095,High,Moderate
Thirumullaivoyal Zone-46,4.2,Poor,66%,No,413m,CHN1096,Medium,Safe
Perambur Zone-92,4.6,Good,78%,Yes,1577m,CHN1097,High,Safe
Vepery Zone-52,4.3,Good,88%,Yes,1750m,CHN1098,Medium,Safe
Teynampet Zone-49,3.1,Poor,66%,No,1266m,CHN1099,High,Unsafe
Perungudi Zone-85,4.8,Moderate,64%,No,482m,CHN1100,Medium,Safe
Thiruvottriyur Zone-40,2.6,Moderate,70%,No,1292m,CHN1101,High,Unsafe
Aminjikarai Zone-80,3.1,Good,64%,No,1232m,CHN1102,Medium,Unsafe
T Nagar Zone-4,5.0,Moderate,73%,Yes,581m,CHN1103,High,Safe
Velachery East Zone-53,4.2,Poor,77%,No,1604m,CHN1104,Medium,Safe
Vandalur Zone-11,4.5,Poor,73%,Yes,1375m,CHN1105,Low,Safe
Nungambakkam Zone-71,2.7,Moderate,86%,No,1226m,CHN1106,High,Unsafe
Kodambakkam Zone-79,3.4,Poor,86%,No,1021m,CHN1107,High,Moderate
Mylapore Zone-75,3.5,Good,99%,Yes,856m,CHN1108,Low,Moderate
Guindy Zone-96,4.7,Poor,75%,No,1801m,CHN1109,Medium,Safe
Kilpauk Zone-38,3.4,Good,62%,No,1001m,CHN1110,Low,Moderate
Kodambakkam Zone-20,4.3,Moderate,99%,Yes,575m,CHN1111,Low,Safe
Manapakkam Zone-70,3.3,Moderate,61%,Yes,1242m,CHN1112,Medium,Moderate
Parrys Zone-19,4.9,Moderate,96%,Yes,506m,CHN1113,Low,Safe
Thirumullaivoyal Zone-89,2.9,Poor,70%,No,1582m,CHN1114,Medium,Unsafe
Poonamallee Zone-19,3.9,Moderate,60%,No,1436m,CHN1115,Medium,Moderate
Kottivakkam Zone-93,2.6,Poor,67%,No,1925m,CHN1116,Medium,Unsafe
Vandalur Zone-57,4.6,Good,66%,Yes,745m,CHN1117,Low,Safe
Vadapalani Zone-52,3.8,Good,92%,Yes,1365m,CHN1118,Medium,Moderate
Guindy Zone-55,3.1,Good,100%,Yes,1210m,CHN1119,Medium,Unsafe
Egmore Zone-88,4.5,Good,94%,Yes,237m,CHN1120,High,Safe
Tambaram Zone-93,2.5,Moderate,99%,No,312m,CHN1121,Medium,Unsafe
Pallavaram Zone-49,2.7,Poor,90%,No,1783m,CHN1122,High,Unsafe
Velachery West Zone-92,3.6,Good,61%,Yes,467m,CHN1123,High,Moderate
Alwarpet Zone-84,4.2,Poor,81%,Yes,239m,CHN1124,Low,Safe
Tambaram Zone-100,3.0,Moderate,63%,No,624m,CHN1125,Medium,Unsafe
Villivakkam Zone-14,4.4,Poor,69%,Yes,1483m,CHN1126,Low,Safe
Saidapet Zone-55,3.5,Moderate,80%,No,632m,CHN1127,Low,Moderate
Thiruvottriyur Zone-17,3.5,Good,77%,No,818m,CHN1128,Medium,Moderate
Pallavaram Zone-23,2.8,Good,88%,Yes,811m,CHN1129,Low,Unsafe
Medavakkam Zone-88,4.5,Moderate,87%,No,362m,CHN1130,Low,Safe
Vandalur Zone-31,4.9,Poor,94%,Yes,1807m,CHN1131,High,Safe
Ayanavaram Zone-84,4.9,Poor,86%,Yes,1517m,CHN1132,High,Safe
Sholinganallur Zone-30,4.1,Good,61%,No,551m,CHN1133,Medium,Moderate
Perungudi Zone-56,4.4,Good,67%,Yes,1399m,CHN1134,Low,Safe
Pallikaranai Zone-43,3.1,Poor,81%,Yes,1531m,CHN1135,High,Unsafe
Thousand Lights Zone-10,3.5,Moderate,75%,Yes,381m,CHN1136,High,Moderate
Thiruvottriyur Zone-48,4.0,Poor,88%,No,1433m,CHN1137,High,Moderate
Mogappair Zone-97,3.5,Good,93%,Yes,1108m,CHN1138,Low,Moderate
Velachery East Zone-12,4.3,Good,95%,Yes,469m,CHN1139,Medium,Safe
Maduravoyal Zone-2,4.4,Good,96%,Yes,951m,CHN1140,Medium,Safe
Velachery East Zone-11,4.4,Poor,61%,Yes,738m,CHN1141,High,Safe
Manapakkam Zone-42,3.6,Moderate,77%,No,1478m,CHN1142,High,Moderate
Nungambakkam Zone-76,4.7,Poor,60%,No,1697m,CHN1143,Low,Safe
Sholinganallur Zone-21,4.7,Poor,68%,No,1662m,CHN1144,Low,Safe
Thoraipakkam Zone-22,4.8,Good,83%,No,746m,CHN1145,High,Safe
Perungudi Zone-86,3.2,Good,92%,Yes,1057m,CHN1146,High,Moderate
Velachery West Zone-28,3.2,Good,65%,Yes,1378m,CHN1147,High,Moderate
Aminjikarai Zone-7,3.1,Moderate,96%,No,789m,CHN1148,High,Unsafe
Ayanavaram Zone-30,3.7,Good,76%,Yes,1116m,CHN1149,Medium,Moderate
Mogappair Zone-51,3.9,Moderate,95%,Yes,1496m,CHN1150,Low,Moderate
Thousand Lights Zone-40,4.1,Good,74%,No,834m,CHN1151,Medium,Moderate
Ashok Nagar Zone-69,4.6,Good,91%,Yes,1894m,CHN1152,Medium,Safe
Perambur Zone-56,3.5,Poor,97%,Yes,1870m,CHN1153,Medium,Moderate
Vadapalani Zone-11,4.4,Good,82%,No,1919m,CHN1154,Low,Safe
Chromepet Zone-20,4.5,Moderate,85%,Yes,1485m,CHN1155,High,Safe
Kodambakkam Zone-54,3.6,Moderate,75%,No,1041m,CHN1156,Medium,Moderate
Guindy Zone-2,3.1,Good,70%,Yes,1759m,CHN1157,Low,Unsafe
Kotturpuram Zone-75,2.6,Good,100%,Yes,1219m,CHN1158,High,Unsafe
Thoraipakkam Zone-47,3.4,Poor,60%,No,1760m,CHN1159,Medium,Moderate
Egmore Zone-77,3.1,Poor,75%,Yes,1504m,CHN1160,High,Unsafe
Perungudi Zone-97,2.7,Poor,96%,No,1491m,CHN1161,Medium,Unsafe
Kodambakkam Zone-80,4.4,Moderate,97%,Yes,1920m,CHN1162,High,Safe
Thousand Lights Zone-81,3.1,Good,92%,No,219m,CHN1163,High,Unsafe
Velachery West Zone-29,4.4,Moderate,98%,Yes,1961m,CHN1164,Low,Safe
Kilpauk Zone-73,2.7,Poor,68%,No,1387m,CHN1165,High,Unsafe
Egmore Zone-75,4.5,Moderate,84%,No,724m,CHN1166,Medium,Safe
Velachery Zone-37,4.1,Moderate,93%,No,627m,CHN1167,High,Moderate
Ayanavaram Zone-9,2.5,Moderate,64%,No,691m,CHN1168,Low,Unsafe
Villivakkam Zone-74,3.2,Moderate,77%,No,512m,CHN1169,Medium,Moderate
Royapuram Zone-85,2.8,Good,64%,Yes,1279m,CHN1170,Low,Unsafe
Kilpauk Zone-60,3.3,Poor,60%,No,460m,CHN1171,Low,Moderate
Adyar Zone-14,2.8,Moderate,66%,No,1311m,CHN1172,Medium,Unsafe
Vadapalani Zone-59,4.3,Good,91%,No,866m,CHN1173,Low,Safe
Vadapalani Zone-87,3.3,Moderate,72%,No,691m,CHN1174,High,Moderate
Porur Zone-92,3.8,Moderate,81%,Yes,1794m,CHN1175,Medium,Moderate
Medavakkam Zone-43,4.2,Good,78%,Yes,450m,CHN1176,Medium,Safe
Alwarpet Zone-94,4.1,Poor,65%,Yes,522m,CHN1177,High,Moderate
Velachery East Zone-57,4.4,Moderate,67%,No,681m,CHN1178,Medium,Safe
Maduravoyal Zone-32,4.3,Moderate,64%,No,1036m,CHN1179,High,Safe
Vadapalani Zone-69,3.2,Good,84%,No,686m,CHN1180,Medium,Moderate
Adyar Zone-27,4.0,Moderate,79%,No,602m,CHN1181,High,Moderate
Mogappair Zone-8,2.8,Moderate,69%,Yes,248m,CHN1182,High,Unsafe
Kottivakkam Zone-48,2.6,Poor,76%,No,1996m,CHN1183,Medium,Unsafe
Adyar Zone-42,2.5,Poor,79%,Yes,818m,CHN1184,High,Unsafe
Poonamallee Zone-49,4.9,Good,86%,No,1015m,CHN1185,Low,Safe
Mylapore Zone-37,2.7,Moderate,63%,Yes,1135m,CHN1186,Low,Unsafe
Kilpauk Zone-26,3.6,Good,94%,Yes,618m,CHN1187,Low,Moderate
Parrys Zone-5,2.5,Poor,78%,No,479m,CHN1188,Medium,Unsafe
Thousand Lights Zone-75,4.8,Moderate,99%,Yes,451m,CHN1189,Medium,Safe
Porur Zone-2,2.5,Moderate,95%,Yes,1320m,CHN1190,Medium,Unsafe
Adyar Zone-24,4.8,Moderate,85%,Yes,1139m,CHN1191,Low,Safe
Velachery West Zone-83,4.7,Moderate,81%,No,837m,CHN1192,Low,Safe
Villivakkam Zone-11,3.6,Moderate,68%,Yes,1440m,CHN1193,Medium,Moderate
Thousand Lights Zone-31,4.0,Good,88%,Yes,877m,CHN1194,Medium,Moderate
Chromepet Zone-38,3.2,Poor,65%,Yes,635m,CHN1195,High,Moderate
Chromepet Zone-4,2.7,Moderate,93%,No,1874m,CHN1196,High,Unsafe
Pallavaram Zone-80,3.7,Poor,96%,Yes,1640m,CHN1197,Medium,Moderate
Pallikaranai Zone-22,2.6,Good,83%,Yes,1385m,CHN1198,Medium,Unsafe
Vadapalani Zone-50,4.1,Moderate,69%,No,1297m,CHN1199,Medium,Moderate
Poonamallee Zone-48,3.5,Good,95%,Yes,1222m,CHN1200,Low,Moderate
Maduravoyal Zone-85,2.5,Moderate,74%,No,1151m,CHN1201,High,Unsafe
Thiruvanmiyur Zone-93,3.2,Poor,61%,No,227m,CHN1202,Medium,Moderate
Thiruvanmiyur Zone-96,4.4,Good,75%,Yes,333m,CHN1203,Medium,Safe
Sholinganallur Zone-4,4.1,Good,68%,No,1518m,CHN1204,Low,Moderate
Velachery East Zone-81,3.8,Moderate,77%,Yes,1259m,CHN1205,Medium,Moderate
Thiruvottriyur Zone-94,4.6,Poor,93%,Yes,996m,CHN1206,High,Safe
Chromepet Zone-84,3.1,Poor,85%,No,1093m,CHN1207,Medium,Unsafe
Thousand Lights Zone-89,2.5,Moderate,81%,No,1989m,CHN1208,Medium,Unsafe
Perambur Zone-100,4.0,Good,71%,No,1650m,CHN1209,Low,Moderate
Kotturpuram Zone-82,3.8,Good,75%,Yes,1099m,CHN1210,High,Moderate
Tambaram Zone-90,3.9,Poor,87%,No,1212m,CHN1211,High,Moderate
Adyar Zone-60,3.2,Poor,71%,No,1695m,CHN1212,Low,Moderate
Kottivakkam Zone-90,4.9,Poor,92%,No,1897m,CHN1213,Low,Safe
Ambattur Zone-58,3.6,Poor,69%,No,1457m,CHN1214,High,Moderate
Velachery Zone-72,3.5,Moderate,80%,Yes,1967m,CHN1215,Low,Moderate
Nungambakkam Zone-1,3.2,Poor,76%,No,270m,CHN1216,Medium,Moderate
Manapakkam Zone-64,2.9,Moderate,89%,No,1691m,CHN1217,Low,Unsafe
Sholinganallur Zone-51,3.3,Moderate,60%,Yes,1975m,CHN1218,High,Moderate
Ayanavaram Zone-83,3.3,Poor,86%,Yes,781m,CHN1219,Medium,Moderate
Ambattur Zone-67,3.6,Poor,62%,Yes,656m,CHN1220,Medium,Moderate
Thiruvanmiyur Zone-58,4.5,Good,72%,No,1950m,CHN1221,Medium,Safe
Ayanavaram Zone-53,3.3,Poor,71%,Yes,1437m,CHN1222,Medium,Moderate
Teynampet Zone-87,3.9,Good,82%,Yes,952m,CHN1223,Low,Moderate
